,ITN,Partners,Partners ITN
56,5047056255,"['Volvo Company', 'Australia', 'China', 'India', 'Korea', 'Austria', 'Belgium', 'Bulgaria', 'Croatia', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Hungary', 'Ireland', 'Italy']","['1503001820', '5024234913', '0725014586', '7715996801', '7723087180', '9909357100', '3300008493', '4221004628', '7841338778', '2337027660', '2462214466', '4217034789']"
57,1655202105,"['Kartli', 'Saudi Aramco', 'TotalEnergies', 'Ineos', 'Sinopec']","['1655202105', '7706769986']"
58,3123169789,"['Агро-Белогорье', 'ТД Агро-Белогорье', 'МПЗ Агро-Белогорье', 'ООО «Агро-Бе»']","['3121184414', '3123169789', '3123183960']"
59,4900000681,"['Google', 'Microsoft', 'Apple']",['7707767220']
60,7708797192,"['Transfin-M', 'Atlant Rail']","['7708797192', '7460038895']"
61,4707036312,['EuroChem Group'],[]
62,4823005682,"['Indesit', 'Indesit Russia', 'Indesit.ru']",[]
63,7708207911,"['Sucden', 'Wilmar', 'MCMA', 'MAMDA', 'CIMR', 'RCAR']",['501601106840']
64,7713654471,['Braus'],['7725439944']
65,6321124263,"['LADA Имидж', 'LADA Имидж', 'LADA Имидж', 'LADA Имидж']","['6321124263', '6321124263', '6321124263', '6321124263']"
66,7719451213,"['Revo Charge', 'Megafon', 'Ucell', 'USM Telecom', 'Sviaznyy', 'Yota', 'Aliexpress', 'Start', 'Pikta', 'BNB', 'Metallo']","['7812014560', '5405025919', '5838013374', '7707436299', '7733862470', '7705392230']"
67,7801463476,"['MOBIS', 'Hyundai&Kia', 'MOBIS MODULE']",['7801463476']
68,7702599998,"['Газпром', 'Газпром Инвест', 'Газпром Добыча Ямбург', 'Газпром Добыча Надым', 'Газпром Добыча Краснодар']","['7736050003', '7708624200', '8904034777', '8903019871', '2308065678']"
69,7703313144,['Монт'],['7730014175']
70,1646027030,"['Kastamonu Universal Ticaret A.S.', 'Bridge to Talent', 'Bridge to Development']",[]
71,3662009586,"['Molvest', 'Protein']","['3662104737', '7205032334']"
72,3662104737,"['Molvest', 'Protein']","['3662104737', '7205032334']"
73,7704242231,['NVA Online Advertising'],[]
74,7707724547,"['Mastercard', 'Mastercard Europe', 'Mastercard Data & Services', 'Mastercard Brand Center', 'Mastercard Developers', 'Priceless.com', 'Center for Inclusive Growth']","['9909300907', '9909300907']"
75,7708737490,"['Fgk', 'dd5e035ff7cc9d698c6eb2da22e81a72', '2d4c4ee875ef377bd4a57fa775e93665']",['6659209750']
76,6230051360,"['Technicol', 'OptimalGroup']",[]
77,7703058663,"['Russian Standard Bank', 'Imperial Private Banking', 'Russian Standard Insurance', 'Russian Standard Credit Bureau', 'Roust Corporation']",[]
78,7710759236,"['Visa', 'Mastercard', 'American Express', 'Discover']","['3666085845', '9909300907', '5610072816']"
79,5260230051,"['LUKOIL', 'PJSC LUKOIL']",['7425002857']
80,7606052264,"['TNS_energo', 'RuStore', 'Google Play', 'App Store']",[]
81,7710034310,"['Mospromstroy', 'Сакта', 'Мотажстройиндустрия', 'Зеленоградстрой', 'Прогресс']","['7710034310', '8911017275', '7735023575', '4826022365']"
82,7704460769,['Yandex'],[]
83,7802263110,"['Saipem', 'Stamicarbon', 'Toyo', 'Urea Casale']",['7710390358']
84,7730565447,"['Тольяттинский трубопрофильный завод', 'Северсталь', 'Новолипецкий металлургический комбинат', 'Евраз', 'ArcelorMittal', 'Ногинский трубопрофильный завод']","['6324064630', '3528000597', '4823006703', '6623000680']"
85,7718278630,['LIT Трейдинг'],['7728196841']
86,5077018948,"['Rollton', 'Bigbon', 'Petra', 'Mareven Professional Food', 'Actibo']","['7706192628', '9731104523', '7804040077']"
87,7816527605,"['Karjalapulp', 'Karjalapulp']",[]
88,2315020195,['Новоросцемент'],['2315020195']
89,7702331790,"['Chanel', 'Fashion', 'Jewelry', 'Watches']","['251135306747', '5021020254']"
90,7720125736,"['Anian', 'ARTDECO', 'Baby Elephant', 'Bio-G', 'Bio-Oil', 'Cettua', 'Cottage', 'Deborah Milano', 'Elastine', 'Focallure', 'KANS', 'laCabine', 'Laurier', 'Lip Smacker', 'LORAC', 'Lululun', 'Mer']","['2320135931', '5262224945', '5646030834', '2450021526', '5029069967']"
91,2901008961,"['Titan', 'Беломорская сплавная компания', 'Группа Компаний Титан']","['3442110950', '2921008092', '5501100816']"
92,7816136062,"['Nevamilk', 'Alexandrovskaya Ferm', 'STM', 'HoReCa', 'Ingredients', 'Dolce Granto', 'Zoloto Evropy', 'Zoloto Arthura', 'Tysiacha']","['7816136062', '6672241304', '6451421958', '7704030318']"
93,5047056030,"['Volvo Group', 'Volvo Information Technology AB', 'Volvo Cars']",[]
94,1322010439,['Hordel'],[]
95,2453013555,"['Rosatom', 'ТВЭЛ', 'ЭХЗ', 'АО \\ПО ЭХЗ\\']","['7706413348', '7706123550', '2453013555']"
96,7723332561,"['EGAC', 'SIBEX']","['381701373668', '7024014703']"
97,3328424479,['РКС энерго'],['3328424479']
98,6382018657,['ТОМЕТ'],['6382018657']
99,5190165656,"['Sever Minerals', 'Север Минералы', 'Sever']","['5190165656', '3528000597']"
100,7814413641,"['Агро-Альянс', 'АГРО-АЛЬЯНС ОМФ', 'ЮЖНАЯ РИСОВАЯ КОМПАНИЯ', 'АГРО-АЛЬЯНС ЧЕРНСКОЕ', 'АГРО-А']","['7814413641', '5614077558', '2323026793', '7135001562', '1649018203']"
101,7731373530,"['Samsung Medison', 'SiiU', 'Topcon', 'Listem', 'GE', 'Nikkiso', 'Joline', 'Asahi Kasei', 'Philips']","['7708172916', '7706763085']"
102,3900004998,"['LUKOIL', 'PJSC LUKOIL']",['7425002857']
103,3123351597,"['Metro', 'TEN', 'tmx', 'DMZ', 'Kaskad', 'Kolom']","['7704218694', '7743303738', '7743015835', '5010030050', '0516009712', '5022013517']"
104,6230051868,"['Russkaya Agrarnaya Gruppa', 'Rosselkhoz', 'Bayer', 'Cargill', 'Schaumann', 'PSU', 'Optikorm', 'Velmi']","['6230051868', '7704017596', '1655145898', '0245951853', '7814806547']"
105,2828002272,['Прииск Соловьёвский'],['2828002272']
106,7707088732,"['Promfinstroy', 'teeweb']",['7707088732']
107,1644011638,['АО «Татойлгаз»'],['1644011638']
108,7714713602,"['spk.ru', 'donstroy.moscow', 'samolet.ru', 'glorax.com', 'gk-osnova.ru', 'level.ru', 'Metalltec.ru', 'npk-miratech.ru', 'mc.ru']","['7743522120', '5118005517']"
109,5040044451,"['Ehrmann AG', 'Allois Ehrmann']",[]
110,7733622365,"['Major Evolute', 'i-Pro', 'i-Sky', 'i-Van', 'i-Joy']","['7704274402', '7604319297', '9715453453']"
111,7725080060,"['SUBARU', 'INFINITI', 'NISSAN', 'KIA', 'CHERY', 'EXEED', 'GEELY']","['7714176330', '7703282418', '4205108027', '7728674093', '2127315446']"
112,5032242379,['Мособлгазпоставка'],['5047058125']
113,7704205688,"['МБ-Беляево', 'Mercedes-Benz', 'HONGQI', 'HONDA', 'FOTON', 'VK']","['7704205688', '7707016368', '7710529289', '7735199360', '0400014449']"
114,7743553167,"['XCom.Integration', 'XCom', 'vk.com', 'YouTube', 'Telegram', 'Habr', 'Dzen', 'VC']","['3443152304', '2722011196', '9709085307']"
115,3123315768,"['Компания', 'История', 'Руководство', 'Качество', 'Противодействие коррупции', 'Раскрытие информации', 'Образовательная организация', 'Трубы']","['2460066195', '1832161629', '9703165771', '7724437888', '2522003656', '7841439790', '2463108189', '4706053139']"
116,7704558059,['Suzuki Motor Russia'],[]
117,1644015657,"['SMP-НЕФТЕГАЗ', 'vk', 'youtube', 'tg']","['1644015657', '0400014449', '7709775219']"
118,7727192347,['Belaz JSC'],[]
119,7017012254,"['СИБАГРО', 'SIBAGRO Holding', 'VK', 'YouTube']","['8505002565', '5504227426', '0400014449']"
120,5405200166,"['Розничные сети', 'Компании сегмента HoReCa', 'Поставщики мясного сырья', 'Поставщики вспомогательных материалов', 'Логистические компании']","['7816426886', '5752073413']"
121,7740000100,"['SG-транс', 'e-disclosure.ru']",['7740000100']
122,266004050,"['Megway', 'VK.com', 'Facebook', 'Instagram', 'Yandex', 'Google', 'Oneklasniks', 'HotLog', 'Odnoklassniki', 'Telegram']","['2626043808', '1511018610', '3443152304']"
123,5022013517,"['ТМХ', 'Коломенский завод']","['7723199790', '5022013517']"
124,7714535999,"['TA Group', 'Та Битум', 'ТА Битумные терминалы', 'ТА Инжиниринг', 'ТА Логистические системы', 'ТА Транспорт']","['7714535999', '7721789031', '9715258389', '6167060495']"
125,7723124579,"['Serdec.ru', 'vkontakte.ru', 'rbp2']",[]
126,1660073448,"['СИБУР', 'Уфаоргсинтез', 'Газпром нефтехим Салават', 'Ангар']","['7727547261', '0277014204', '0266048970', '3801009466']"
127,8706005044,"['Alexandros Economou LLC', 'Global Law Experts', 'Corporate LiveWire', 'Acquisition International', 'Lawyer Network']",[]
128,5038030290,['Rostagroexport'],[]
129,277046541,"['Холдинг', 'Вебпространство']","['7727547261', '0274926690']"
130,7704313852,"['Surgutneftegaz', 'Taif NK', 'DME']","['8602060555', '1651025328', '7118505320']"
131,2528000813,"['ОАО «Тернейлес»', 'ZAO «STS Technowood»', 'ZAO «PTS Hardwood»', 'ОАO «Амгу»', 'ОАО «Рощинский КЛПХ»']","['2528000813', '2528008178', '2517000018']"
132,3808118560,"['En+ Group', 'En+ Group', 'En+ Group']",[]
133,2315171300,"['Новоросцемент', 'Верхнебаканский цементный завод', 'FLSmidth', 'KHD']","['2315020195', '2315076504', '7701658778']"
134,7717125479,"['АО «Комнедра»', 'Нефтегаз']","['7717125479', '7707017509']"
135,7104044982,"['SPAR', 'vk.com', 'ok.ru']","['7709574093', '5029149732']"
136,5260055963,"['Узольская вода', 'Парк чудес Галилео', 'Малиновая слобода', 'Росгосстрах', 'Элемент лизинг', 'Садко', 'Gener']","['5260260909', '6672317708', '4007021543', '7707067683', '7706561875', '5301002498', '2607018122']"
137,7730614662,"['ALVISA BEVERAGE', 'ALVISA WHISKY DISTILLERY', 'Винно-коньячный завод «КиН»', 'CHATEAU ALVISA', 'Glen Eagles', 'RED&amp;BLACK']","['7730614662', '7730614662', '5024059130', '7730614662']"
138,7702616330,"['Fendt', 'AGCOs Grain & Protein', 'Massey Ferguson', 'PTx', 'Valtra']",['2312293613']
139,7819025427,['Остров'],['7731600239']
140,7705041866,['IBM'],['7705041866']
141,3711025287,"['Союз Автодор', 'Vogele', 'ABG', 'Titan', 'Komatsu', 'JohnDeere', 'Ammann', 'Hamm', 'Bomag']","['3711025287', '7703429484', '3442110950', '7733556360', '7718749293', '0901014009', '5047111121']"
142,7714647727,['Schaeffler Group'],[]
143,7725341089,"['NFenergo', 'Svel', 'Релематика', 'Electroshield', 'Промтэк', 'Zeto', 'Akku-Vertrieb', 'Tavrida', 'ННПО имени М.В. Фрунзе', 'Plasmalabs', 'Эnergomera', 'Электрофи']","['7726439070', '6674330951', '2129041046', '4501226951', '1106035492', '9103077227', '5261077695', '2635133470', '7733015410']"
144,278030985,"['Газпром газораспределение Уфа', 'Газпром межрегионгаз Уфа']","['0278030985', '0276046524']"
145,1648022038,"['Яратель', 'Яратель Халяль', 'ВКУСНОСЕЛЬСКИЕ', 'ДЕРЕВЕНСКИЕ']","['1648022038', '2543145281']"
146,3702232505,"['Gazprom Mezhregiongaz', 'Газпром межрегионгаз']","['5003021311', '5003021311']"
147,4012004991,"['NPZ Yanos', 'НПЗ Янос', 'ООО Славянск ЭКО', 'ООО Самаратранснефть - Терминал', 'ООО Марийский НПЗ', 'ООО Лукоil-Центр']","['2370000496', '6367042944', '1210004525']"
148,2124030957,"['Hevel Solar', 'Hevel Group', 'HEVEL RITEIL', 'Hevel Investors', 'Hevel Generatsiya', 'Hevel Geterostrukturnaya Tekhnologiya', 'Hevel Kontrol Kachestva', 'Hevel Usloviya Truda']",['0248008020']
149,7710233193,"['Storck', 'merci', 'Toffifee', 'Mamba', 'Werthers']",['7714548885']
150,6663066293,"['JCB', 'FAW', 'JCB-Parts.su']",[]
151,6161058806,['АСТИ'],['2801168200']
152,7708029391,"['Объединенные кондитеры', 'Кондитерский концерн Бабаевский']","['7705475711', '7708029391']"
153,8602023144,"['MAN', 'Yandex', 'Delissimo']","['8601073745', '7720479340']"
154,2901115427,"['UD-Holmogory', 'ФКУ Упрдор «Кола»', 'Архангельскавтодор', 'Администрация муниципального образования Северодвинск', 'Департамент тран']","['1001117010', '2900000511', '2902018137', '9704230342']"
155,2201000766,"['Vk', 'YouTube', 'Ok']","['0400014449', '3906394938']"
156,7838315139,"['О холдинг', 'Продукция', 'Торговая компания', 'Ответственное хранение', 'Транспортно-экспедитор']","['7813569766', '5011020537', '5003052454', '7724482841', '2540046733']"
157,5321119656,"['BENTELER', 'HOLON']","['5321119656', '7708822716']"
158,7814017341,['Rencons'],[]
159,7830002303,"['LKHP', 'ALAD']","['7830002303', '7810152029']"
160,7724343982,['smartlgc'],[]
161,7717020170,['Telecom Solutions'],[]
162,7720263905,"['InterlabService', 'En.InterlabService.Ru']",[]
163,5321094384,"['Adept', 'vkontakte', 'Instagram', 'Twitter', 'YouTube']","['5321032733', '7842349892', '2626043808']"
164,2257004191,"['Outspan', 'COFCO International', 'Uvelka', 'Makfa', 'LKHP', 'Istrahleb', 'KZP Group', 'Abroiler', 'Melnik', 'Azpale']","['7424014659', '7438015885', '7830002303', '5017097783', '2356043378']"
165,7726584503,['Strauss Group'],[]
166,7733290511,[''],[]
167,7721230290,['EuroChem Group'],[]
168,7728549952,"['REG.RU', '2domains.ru']",['6312068502']
169,7708502716,"['Europapier', 'mail.ru', 'Yandex']",[]
170,2315076504,"['Верхнебаканский Цементный Завод', 'Общество Черноморского цементного производства']",['2315076504']
171,5020047670,"['KIFATO MK', 'TUV']","['5020047670', '1701054408']"
172,2709006503,['Daltransugol'],['2709006503']
173,5906104576,"['Lovol', 'Manitou', 'John Deere', 'Gregoire-besson', 'Pottinger']",['7722808061']
174,7723828649,"['True Digital', 'VK', 'Telegram']","['0400014449', '3443152304']"
175,7727391550,"['Gaz', 'Kamaz', 'JAC', 'Sollers', 'DongFeng', 'Sitrak', 'Howo', 'Hyundai', 'CTTM CARGOLINE', 'ambertruck', 'Iveco', 'Ford', 'Daewoo']","['7736035485', '1650032058', '7706108030', '3528079131', '7806597530', '5047287252', '7703623202', '4703038767']"
176,7709448074,"['Albiofen', 'Illumina']",[]
177,6234017547,"['Guardian Industries Holdings', 'Netherlands', 'Italy', 'Hungary', 'France', 'Spain', 'Czech Republic', 'Germany', 'United Kingdom & Ireland', 'Turkey', 'Ukraine']","['9909419589', '4217034789', '2337027660', '7708333384', '2462214466', '0216006439', '4710026530']"
178,7825379600,[''],[]
179,6148559000,"['Guardian Industries Holdings', 'Netherlands', 'Italy', 'Hungary', 'France', 'Spain', 'Czech Republic', 'Germany', 'United Kingdom & Ireland', 'Turkey', 'Ukraine']","['9909419589', '4217034789', '2337027660', '7708333384', '2462214466', '0216006439', '4710026530']"
180,7714702390,['Midea'],['9718254907']
181,1652009537,"['NTEHN', 'New Technologies LLC']",['7816245336']
182,7733015025,"['Boosta', 'Sidus']","['252103832883', '7723462578']"
183,5040054932,"['Nippon Sheet Glass Co. Ltd.', 'Convercent']",[]
184,7735153253,"['Квант', 'Merlion', 'BBK', 'Эльдорадо', 'М.видео', 'HiteVision', 'ЗИМ', 'ТрансКонтейнер']","['5836901374', '7715484031', '7743400731', '5611057930', '7707602010', '6670290715', '7708591995']"
185,7422019490,"['Oykuemena', 'Граффити', 'Шаляпин', 'Дунайские террасы', 'Сиреневый бульвар', 'Дом с террасами']","['5504056643', '3664234403', '4001008507']"
186,6142018519,"['Южная угольная компания', 'Южная топливная компания', 'РостовТопПром', 'Горная техника']","['7725278380', '6164244014', '6163004764', '7725404885']"
187,4703066115,['Ariston Group'],[]
188,1644009854,['Татнефтепром'],['1644009854']
189,3445112681,"['СИБАГРО', 'SIBAGRO Holding', 'VK', 'YouTube']","['8505002565', '5504227426', '0400014449']"
190,5103065898,"['Phosagro', 'Rosseti', 'NP-SR', 'Atsenergo', 'Myenergy']","['4716016979', '5905239958', '2225058677']"
191,7706412930,"['VTB', 'Rosatom', 'Gazprom', 'Gazprombank', 'Gazprom Neft', 'NPSGK', 'PJSC PSB', 'Sberbank', 'Rosseti', 'Aeroflot', 'Hongqi']","['7702070139', '7706413348', '7744001497', '7744001497', '0266048970', '7707083893', '4716016979', '7712040126']"
192,4703174640,"['Орими Трейд', 'Группа компаний «Орими»', 'Astronim']","['7804045886', '7703083162']"
193,3250053353,"['Mercedes-Benz', 'Foton', 'Sitrak', 'Krone', 'Kogel', 'Schmitz Cargobull', 'Tverstroymash', 'Kassbohrer', 'Wielton']","['7707016368', '7735199360', '5047287252', '3908031288', '1658246051', '6901071569']"
194,5406773716,[''],[]
195,7703268269,"['RU-CENTER', 'NIC.ru']",[]
196,7728607080,"['Orion', 'Chocopie', 'Jellyboy', 'Chocoboy', 'Safari', 'Mr. Bagetti', 'Gouté', 'Chocochip', 'Crackit']","['7720770380', '7706777962']"
197,7111021753,['SFT Group'],['3904013915']
198,7715380561,['СтройЖелДорПроект'],['7715380561']
199,7805058077,"['Компания', 'Совет директоров', 'Руководство', 'Новости', 'СМИ']","['2460066195', '7806061717', '9703165771', '0323055127', '6727014649']"
200,278088368,"['ГСИ СНЭМА', 'Атма', 'ООО \\ГСИ СНЭМА\\', 'УЦ Энергия', 'Энергия будущего']","['0278169779', '2222906142', '2460247561', '5031125023']"
201,5321059365,['Surgutneftegas'],[]
202,7709722633,"['Viatris', 'Mylan']","['7709722633', '612508307800']"
203,7842470793,"['Evraz Group S.A', 'Магнитогорский металлургический комбинат', 'Металлургический завод Петросталь', 'Мечел', 'Металлоинвест']","['7414003633', '7805059786', '7703370008', '7705392230']"
204,5190400349,"['ММТП', 'Региональное Министерство природных ресурсов', 'экологии и здравоохранения']","['5190400349', '9724056318']"
205,2013431689,"['Фонд Кадырова', 'chechnya.gov.ru', 'grozny.tv', 'chechnyatoday.com', 'gosuslugi.ru']","['2005504830', '2013003965', '5050088602']"
206,5074112710,['masterhost'],['7736220375']
207,6670345033,['start_index:end_index'],[]
208,9721061415,"['Alfa Gruppe', 'Alpha Group']",['6671096005']
209,1639004674,"['Агросила', 'Агросила-Сервис', 'Агросила-Молоко', 'Агросила-ХПП', 'Агросила-МПК']","['1604010557', '1647011280', '1650350325', '1604010733']"
210,4811005751,"['Pyatyorochka', 'Krupa', 'Centertorg', 'Okei', 'Perekrestok', 'Tseuopa', 'Tvoidom', 'Ermak', 'Optovichok', 'Atoll', 'Ekonom', 'Buket']","['2272003555', '5610046887', '7728029110', '2636809873', '8603093264', '7703042769', '7728025250', '7705043493', '2127009390']"
211,6132013173,"['Semsz', 'Лучшее перерабатывающее предприятие', 'ПРОДЭКСПО', 'Semsz']",['9724043157']
212,7709428991,['Единая торговая компания'],['7709428991']
213,1659131920,"['Приоритет групп', 'Портал.РФ']",['1659131920']
214,3334008029,"['Мастерская Смальта', 'Муромский стрелочный завод', 'Завод транспортного оборудования', 'АО «Российские железные дороги»', 'ГУП']","['3307001803', '9002005716', '9709037286']"
215,7717022723,"['ТТЦ Останкино', 'World Content Market', 'Ostankino.ru', 'UC.ostankino.ru', 'Polo Ralph Lauren', 'Brooks Brother']","['7717022723', '7743706021']"
216,7707131508,['Profine Group'],[]
217,6314012801,['SVGK'],['6314012801']
218,7604287662,['ТК ЯРВЕТ'],['7604287662']
219,5407125059,"['ЦФТ-Банк', 'СБП', 'YouTube', 'Twitter']",['3906409729']
220,7709667598,"['Rosneft', 'Novatek', 'Gazprom', 'Sibur', 'Transneft']","['7706107510', '6316031581', '7744001497', '7727547261', '7706061801']"
221,7727548378,"['Russian Fishery', 'Ренжин', 'НБАМР', 'North Pelagic', 'Pelagos', 'Поларис', 'Сириус', 'SMT', 'ЮКРК']","['583508595573', '2508007948', '7703427350', '8602155366', '7724367327', '4703116239', '2309111574']"
222,2221069438,"['Microsoft', 'Mozilla', 'Google', 'Apple', 'Opera']","['7707767220', '7705454461']"
223,7805113497,"['Дело', 'Global Ports Investments plc.']",['6685168725']
224,7705838531,"['Aggreko', 'Facebook', 'Twitter', 'LinkedIn', 'Instagram']","['7705838531', '2626043808']"
225,7729376075,"['Россети Центр', 'Россети Центр и Приволжье', 'Азбука Вкуса', 'Самараэнерго', 'Открытие', 'AWS Elemental']","['6901067107', '5260200603', '0726023167', '6315222985', '7708730590']"
226,5017117817,"['ZTI', 'VK']","['6658257817', '0400014449']"
227,1001012875,"['TNS\\_energo\\_karelia', 'Одноклассники', 'Telegram', 'ru.tns']","['1511018610', '3443152304', '7719403594']"
228,3802010714,"['Виртуальные технологии', 'Витимэнергосбыт']","['1660332580', '3802010714']"
229,7717701845,"['TransPiroctInzhining', 'TRANSПРОЕКТИНЖИНИРИНГ']",['7717701845']
230,5001111721,['tender-sk.ru'],[]
231,7448024720,"['Metran', 'METPAH']",['7448024720']
232,5834000060,"['Маякпринт', 'Маяк Канц', 'Гравотэк', 'Маяк-энергия']","['5834031277', '5834030717', '5834019819', '5834059297']"
233,7714947216,"['City Park', 'МонАрх']",['6324001647']
234,7724340004,['Новый Мир'],['7608001240']
235,2315014748,"['Bunge', 'Noble', 'Cargill', 'LDC', 'Demetra']","['7107119918', '7802606261', '1652019905', '5004028768']"
236,7801475601,['ДУВОН РУС'],['7801475601']
